structure,operation,n,avg_time_ns
Unsorted Array,Search,250,739.67
Unsorted Array,Max,250,655.33
Unsorted Array,Min,250,622.33
Unsorted Array,Predecessor,250,779.33
Unsorted Array,Successor,250,492.67
Unsorted Array,Insert,250,105.00
Unsorted Array,Delete,250,99.00
Sorted Array,Search,250,118.00
Sorted Array,Max,250,97.33
Sorted Array,Min,250,89.67
Sorted Array,Predecessor,250,93.00
Sorted Array,Successor,250,90.33
Sorted Array,Insert,250,1124.00
Sorted Array,Delete,250,979.67
Unsorted SLL,Search,250,674.67
Unsorted SLL,Max,250,572.00
Unsorted SLL,Min,250,551.33
Unsorted SLL,Predecessor,250,731.00
Unsorted SLL,Successor,250,615.67
Unsorted SLL,Insert,250,163.00
Unsorted SLL,Delete,250,1110.67
Sorted SLL,Search,250,624.67
Sorted SLL,Max,250,511.00
Sorted SLL,Min,250,89.00
Sorted SLL,Predecessor,250,606.67
Sorted SLL,Successor,250,97.67
Sorted SLL,Insert,250,1308.67
Sorted SLL,Delete,250,1278.33
Unsorted DLL,Search,250,754.67
Unsorted DLL,Max,250,864.67
Unsorted DLL,Min,250,893.67
Unsorted DLL,Predecessor,250,953.67
Unsorted DLL,Successor,250,873.67
Unsorted DLL,Insert,250,211.33
Unsorted DLL,Delete,250,167.00
Sorted DLL,Search,250,764.67
Sorted DLL,Max,250,100.33
Sorted DLL,Min,250,98.00
Sorted DLL,Predecessor,250,97.00
Sorted DLL,Successor,250,96.33
Sorted DLL,Insert,250,1117.00
Sorted DLL,Delete,250,125.33
Unsorted Array,Search,500,1366.67
Unsorted Array,Max,500,1777.33
Unsorted Array,Min,500,1755.67
Unsorted Array,Predecessor,500,1153.67
Unsorted Array,Successor,500,1224.33
Unsorted Array,Insert,500,159.33
Unsorted Array,Delete,500,101.00
Sorted Array,Search,500,119.33
Sorted Array,Max,500,92.33
Sorted Array,Min,500,85.33
Sorted Array,Predecessor,500,90.00
Sorted Array,Successor,500,93.67
Sorted Array,Insert,500,1985.00
Sorted Array,Delete,500,1473.33
Unsorted SLL,Search,500,2024.67
Unsorted SLL,Max,500,1581.33
Unsorted SLL,Min,500,1633.67
Unsorted SLL,Predecessor,500,1631.67
Unsorted SLL,Successor,500,1388.00
Unsorted SLL,Insert,500,308.67
Unsorted SLL,Delete,500,1751.00
Sorted SLL,Search,500,1160.33
Sorted SLL,Max,500,1057.67
Sorted SLL,Min,500,96.00
Sorted SLL,Predecessor,500,1374.67
Sorted SLL,Successor,500,97.33
Sorted SLL,Insert,500,2230.67
Sorted SLL,Delete,500,1730.67
Unsorted DLL,Search,500,1143.67
Unsorted DLL,Max,500,1276.33
Unsorted DLL,Min,500,1239.33
Unsorted DLL,Predecessor,500,1687.33
Unsorted DLL,Successor,500,1266.33
Unsorted DLL,Insert,500,186.00
Unsorted DLL,Delete,500,121.67
Sorted DLL,Search,500,1302.33
Sorted DLL,Max,500,97.67
Sorted DLL,Min,500,95.00
Sorted DLL,Predecessor,500,96.00
Sorted DLL,Successor,500,98.00
Sorted DLL,Insert,500,1992.33
Sorted DLL,Delete,500,150.33
Unsorted Array,Search,1000,3390.67
Unsorted Array,Max,1000,3048.33
Unsorted Array,Min,1000,2968.00
Unsorted Array,Predecessor,1000,3003.33
Unsorted Array,Successor,1000,1757.67
Unsorted Array,Insert,1000,92.00
Unsorted Array,Delete,1000,89.00
Sorted Array,Search,1000,151.67
Sorted Array,Max,1000,100.00
Sorted Array,Min,1000,97.33
Sorted Array,Predecessor,1000,100.67
Sorted Array,Successor,1000,100.00
Sorted Array,Insert,1000,5883.33
Sorted Array,Delete,1000,3174.00
Unsorted SLL,Search,1000,3455.67
Unsorted SLL,Max,1000,3726.33
Unsorted SLL,Min,1000,2089.67
Unsorted SLL,Predecessor,1000,2821.67
Unsorted SLL,Successor,1000,2877.67
Unsorted SLL,Insert,1000,159.33
Unsorted SLL,Delete,1000,3186.00
Sorted SLL,Search,1000,2235.00
Sorted SLL,Max,1000,1796.67
Sorted SLL,Min,1000,88.67
Sorted SLL,Predecessor,1000,2182.33
Sorted SLL,Successor,1000,89.33
Sorted SLL,Insert,1000,2710.00
Sorted SLL,Delete,1000,2942.00
Unsorted DLL,Search,1000,2247.00
Unsorted DLL,Max,1000,2629.67
Unsorted DLL,Min,1000,2428.67
Unsorted DLL,Predecessor,1000,2516.33
Unsorted DLL,Successor,1000,2409.33
Unsorted DLL,Insert,1000,188.33
Unsorted DLL,Delete,1000,173.67
Sorted DLL,Search,1000,2638.67
Sorted DLL,Max,1000,95.67
Sorted DLL,Min,1000,97.00
Sorted DLL,Predecessor,1000,98.33
Sorted DLL,Successor,1000,98.00
Sorted DLL,Insert,1000,3376.00
Sorted DLL,Delete,1000,186.33
Unsorted Array,Search,2000,2810.67
Unsorted Array,Max,2000,3461.67
Unsorted Array,Min,2000,3573.00
Unsorted Array,Predecessor,2000,3676.00
Unsorted Array,Successor,2000,4527.33
Unsorted Array,Insert,2000,90.33
Unsorted Array,Delete,2000,89.67
Sorted Array,Search,2000,135.00
Sorted Array,Max,2000,91.67
Sorted Array,Min,2000,86.67
Sorted Array,Predecessor,2000,91.00
Sorted Array,Successor,2000,89.33
Sorted Array,Insert,2000,5335.33
Sorted Array,Delete,2000,4761.00
Unsorted SLL,Search,2000,6131.33
Unsorted SLL,Max,2000,4057.00
Unsorted SLL,Min,2000,4055.67
Unsorted SLL,Predecessor,2000,5019.33
Unsorted SLL,Successor,2000,6982.67
Unsorted SLL,Insert,2000,153.33
Unsorted SLL,Delete,2000,6121.33
Sorted SLL,Search,2000,6491.33
Sorted SLL,Max,2000,4138.33
Sorted SLL,Min,2000,91.00
Sorted SLL,Predecessor,2000,4777.00
Sorted SLL,Successor,2000,86.33
Sorted SLL,Insert,2000,5962.67
Sorted SLL,Delete,2000,6267.67
Unsorted DLL,Search,2000,5085.00
Unsorted DLL,Max,2000,5443.00
Unsorted DLL,Min,2000,5049.67
Unsorted DLL,Predecessor,2000,5502.67
Unsorted DLL,Successor,2000,6417.67
Unsorted DLL,Insert,2000,152.33
Unsorted DLL,Delete,2000,115.00
Sorted DLL,Search,2000,8661.00
Sorted DLL,Max,2000,90.33
Sorted DLL,Min,2000,88.33
Sorted DLL,Predecessor,2000,89.00
Sorted DLL,Successor,2000,90.00
Sorted DLL,Insert,2000,8102.33
Sorted DLL,Delete,2000,122.00
Unsorted Array,Search,4000,6400.33
Unsorted Array,Max,4000,10182.67
Unsorted Array,Min,4000,7391.67
Unsorted Array,Predecessor,4000,7525.33
Unsorted Array,Successor,4000,9111.33
Unsorted Array,Insert,4000,112.67
Unsorted Array,Delete,4000,102.67
Sorted Array,Search,4000,139.00
Sorted Array,Max,4000,88.67
Sorted Array,Min,4000,86.67
Sorted Array,Predecessor,4000,88.00
Sorted Array,Successor,4000,89.67
Sorted Array,Insert,4000,10178.00
Sorted Array,Delete,4000,8809.67
Unsorted SLL,Search,4000,9892.67
Unsorted SLL,Max,4000,8378.67
Unsorted SLL,Min,4000,8476.00
Unsorted SLL,Predecessor,4000,10390.33
Unsorted SLL,Successor,4000,9602.67
Unsorted SLL,Insert,4000,136.33
Unsorted SLL,Delete,4000,10999.33
Sorted SLL,Search,4000,15631.33
Sorted SLL,Max,4000,14865.67
Sorted SLL,Min,4000,89.33
Sorted SLL,Predecessor,4000,15223.00
Sorted SLL,Successor,4000,96.00
Sorted SLL,Insert,4000,17851.67
Sorted SLL,Delete,4000,17033.67
Unsorted DLL,Search,4000,10008.67
Unsorted DLL,Max,4000,11115.33
Unsorted DLL,Min,4000,12002.67
Unsorted DLL,Predecessor,4000,11717.67
Unsorted DLL,Successor,4000,11211.00
Unsorted DLL,Insert,4000,150.33
Unsorted DLL,Delete,4000,114.00
Sorted DLL,Search,4000,25189.00
Sorted DLL,Max,4000,98.00
Sorted DLL,Min,4000,98.00
Sorted DLL,Predecessor,4000,97.00
Sorted DLL,Successor,4000,95.33
Sorted DLL,Insert,4000,24281.33
Sorted DLL,Delete,4000,178.00
Unsorted Array,Search,8000,15843.00
Unsorted Array,Max,8000,20398.67
Unsorted Array,Min,8000,15767.67
Unsorted Array,Predecessor,8000,27069.33
Unsorted Array,Successor,8000,24657.67
Unsorted Array,Insert,8000,94.67
Unsorted Array,Delete,8000,89.67
Sorted Array,Search,8000,145.00
Sorted Array,Max,8000,93.33
Sorted Array,Min,8000,86.67
Sorted Array,Predecessor,8000,89.67
Sorted Array,Successor,8000,92.67
Sorted Array,Insert,8000,21811.67
Sorted Array,Delete,8000,17410.33
Unsorted SLL,Search,8000,20647.33
Unsorted SLL,Max,8000,17000.33
Unsorted SLL,Min,8000,16029.67
Unsorted SLL,Predecessor,8000,19890.33
Unsorted SLL,Successor,8000,28588.00
Unsorted SLL,Insert,8000,228.67
Unsorted SLL,Delete,8000,21402.67
Sorted SLL,Search,8000,39790.67
Sorted SLL,Max,8000,41087.33
Sorted SLL,Min,8000,104.00
Sorted SLL,Predecessor,8000,42107.67
Sorted SLL,Successor,8000,90.33
Sorted SLL,Insert,8000,37646.00
Sorted SLL,Delete,8000,37713.33
Unsorted DLL,Search,8000,40748.67
Unsorted DLL,Max,8000,25735.33
Unsorted DLL,Min,8000,24719.00
Unsorted DLL,Predecessor,8000,26661.00
Unsorted DLL,Successor,8000,40511.67
Unsorted DLL,Insert,8000,206.33
Unsorted DLL,Delete,8000,164.33
Sorted DLL,Search,8000,38343.67
Sorted DLL,Max,8000,88.67
Sorted DLL,Min,8000,92.00
Sorted DLL,Predecessor,8000,88.33
Sorted DLL,Successor,8000,87.33
Sorted DLL,Insert,8000,42547.33
Sorted DLL,Delete,8000,127.33
Unsorted Array,Search,16000,21997.33
Unsorted Array,Max,16000,27408.00
Unsorted Array,Min,16000,34381.33
Unsorted Array,Predecessor,16000,80220.67
Unsorted Array,Successor,16000,93198.00
Unsorted Array,Insert,16000,90.33
Unsorted Array,Delete,16000,89.00
Sorted Array,Search,16000,148.33
Sorted Array,Max,16000,90.00
Sorted Array,Min,16000,87.00
Sorted Array,Predecessor,16000,89.67
Sorted Array,Successor,16000,89.00
Sorted Array,Insert,16000,42053.67
Sorted Array,Delete,16000,34975.67
Unsorted SLL,Search,16000,39763.67
Unsorted SLL,Max,16000,34069.33
Unsorted SLL,Min,16000,32640.00
Unsorted SLL,Predecessor,16000,66153.00
Unsorted SLL,Successor,16000,60925.67
Unsorted SLL,Insert,16000,146.67
Unsorted SLL,Delete,16000,40395.67
Sorted SLL,Search,16000,86383.67
Sorted SLL,Max,16000,93081.67
Sorted SLL,Min,16000,89.67
Sorted SLL,Predecessor,16000,87961.33
Sorted SLL,Successor,16000,94.33
Sorted SLL,Insert,16000,94922.33
Sorted SLL,Delete,16000,85034.33
Unsorted DLL,Search,16000,43073.33
Unsorted DLL,Max,16000,41419.33
Unsorted DLL,Min,16000,42403.67
Unsorted DLL,Predecessor,16000,69953.67
Unsorted DLL,Successor,16000,56324.67
Unsorted DLL,Insert,16000,261.33
Unsorted DLL,Delete,16000,116.67
Sorted DLL,Search,16000,179756.67
