n,algorithm,time_ns,comparisons
1000,MergeSort2Way,74600,8705
1000,MergeSort3Way,55100,10711
2000,MergeSort2Way,290800,19423
2000,MergeSort3Way,244500,24071
4000,MergeSort2Way,572000,42810
4000,MergeSort3Way,542500,53191
8000,MergeSort2Way,1215100,93749
8000,MergeSort3Way,1045600,116594
16000,MergeSort2Way,2681300,203225
16000,MergeSort3Way,2229600,252725
32000,MergeSort2Way,5644000,438240
32000,MergeSort3Way,4802200,546689
64000,MergeSort2Way,11957400,941116
64000,MergeSort3Way,10537400,1174782
128000,MergeSort2Way,25235600,2010108
128000,MergeSort3Way,21608700,2503601
256000,MergeSort2Way,53547500,4276157
256000,MergeSort3Way,46319600,5343789
512000,MergeSort2Way,112610500,9065722
512000,MergeSort3Way,94227000,11329621
1000000,MergeSort2Way,226035500,18673276
1000000,MergeSort3Way,191164600,23349881
