n,k,method,time_ns
200,2,Method1_Sequential,2300
200,2,Method2_Pairwise,3700
200,2,Method3_Heap,9100
200,4,Method1_Sequential,15100
200,4,Method2_Pairwise,17100
200,4,Method3_Heap,44900
200,8,Method1_Sequential,62400
200,8,Method2_Pairwise,56700
200,8,Method3_Heap,138100
200,16,Method1_Sequential,175900
200,16,Method2_Pairwise,128200
200,16,Method3_Heap,302300
200,32,Method1_Sequential,853000
200,32,Method2_Pairwise,475300
200,32,Method3_Heap,901100
200,64,Method1_Sequential,2800100
200,64,Method2_Pairwise,1039300
200,64,Method3_Heap,2244300
200,128,Method1_Sequential,10721300
200,128,Method2_Pairwise,2596600
200,128,Method3_Heap,4110000
200,256,Method1_Sequential,37320600
200,256,Method2_Pairwise,5066500
200,256,Method3_Heap,8820700
200,512,Method1_Sequential,150487500
200,512,Method2_Pairwise,10972300
200,512,Method3_Heap,19758600
200,1024,Method1_Sequential,642739600
200,1024,Method2_Pairwise,24723700
200,1024,Method3_Heap,45456800
