n,k,method,time_ns
50,16,Method1_Sequential,48100
50,16,Method2_Pairwise,36000
50,16,Method3_Heap,54200
100,16,Method1_Sequential,93700
100,16,Method2_Pairwise,62600
100,16,Method3_Heap,137600
200,16,Method1_Sequential,199800
200,16,Method2_Pairwise,165700
200,16,Method3_Heap,288900
400,16,Method1_Sequential,437900
400,16,Method2_Pairwise,347900
400,16,Method3_Heap,593300
800,16,Method1_Sequential,992700
800,16,Method2_Pairwise,712200
800,16,Method3_Heap,1250100
1600,16,Method1_Sequential,1906900
1600,16,Method2_Pairwise,1472100
1600,16,Method3_Heap,2380000
3200,16,Method1_Sequential,4408600
3200,16,Method2_Pairwise,2773100
3200,16,Method3_Heap,4862900
6400,16,Method1_Sequential,6236600
6400,16,Method2_Pairwise,5424400
6400,16,Method3_Heap,8843000
12800,16,Method1_Sequential,13980300
12800,16,Method2_Pairwise,10544900
12800,16,Method3_Heap,17076400
25600,16,Method1_Sequential,28721100
25600,16,Method2_Pairwise,19160900
25600,16,Method3_Heap,31377300
