n,naive,dc_recursive,iterative,bound_3n_2
2,2,1,1,1.0
4,6,4,4,4.0
8,14,10,10,10.0
10,18,14,13,13.0
16,30,22,22,22.0
20,38,30,28,28.0
32,62,46,46,46.0
50,98,80,73,73.0
64,126,94,94,94.0
100,198,162,148,148.0
128,254,190,190,190.0
200,398,326,298,298.0
256,510,382,382,382.0
500,998,754,748,748.0
512,1022,766,766,766.0
1000,1998,1510,1498,1498.0
1024,2046,1534,1534,1534.0
2000,3998,3022,2998,2998.0
2048,4094,3070,3070,3070.0
5000,9998,7950,7498,7498.0
8192,16382,12286,12286,12286.0
10000,19998,15902,14998,14998.0
16384,32766,24574,24574,24574.0
32768,65534,49150,49150,49150.0
50000,99998,82766,74998,74998.0
65536,131070,98302,98302,98302.0
100000,199998,165534,149998,149998.0
200000,399998,331070,299998,299998.0
